chart_id,track_id,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
0,0,147,263,10,826
1,1,48,126,14,382
2,2,113,207,14,949
3,3,100,207,12,548
4,4,50,133,15,425
5,5,91,213,17,946
6,6,50,222,13,418
7,7,43,89,13,194
8,8,83,210,11,953
9,9,44,110,13,339
10,10,40,205,12,251
11,11,55,202,5,168
12,12,98,156,24,"1,281"
13,13,77,162,12,187
14,14,77,212,6,0
15,15,40,100,14,187
16,16,68,104,2,29
17,17,26,163,4,0
18,18,38,119,1,150
19,19,40,152,11,139
20,20,87,182,14,"1,093"
21,21,26,149,5,168
22,22,77,119,38,96
23,23,40,109,14,211
24,24,19,107,1,325
25,25,101,0,38,0
26,26,78,135,1,294
27,27,34,185,8,197
28,28,88,149,23,27
29,29,56,142,9,310
30,30,49,123,18,354
31,31,34,108,9,212
32,32,53,123,2,81
33,33,42,111,4,82
34,34,28,159,6,100
35,35,25,107,3,62
36,36,78,117,4,69
37,37,80,184,45,727
38,38,64,58,1,311
39,39,19,48,1,102
40,40,59,21,0,259
41,41,79,137,1,140
42,42,47,86,1,16
43,43,38,64,10,110
44,44,66,111,11,810
45,45,39,71,10,176
46,46,59,0,17,0
47,47,42,79,1,615
48,48,45,111,15,210
49,49,15,17,4,167
50,50,41,84,14,37
51,51,39,0,0,0
52,52,50,121,12,171
53,53,38,79,11,16
54,54,43,2,5,0
55,55,23,55,0,272
56,56,56,64,8,529
57,57,36,32,1,26
58,58,24,93,2,5
59,59,35,80,3,169
60,60,36,58,18,230
61,61,45,65,14,176
62,62,62,0,9,0
63,63,23,85,1,84
64,64,42,108,26,154
65,65,38,74,14,194
66,66,20,16,4,93
67,67,55,65,1,0
68,68,30,96,0,115
69,69,9,6,2,72
70,70,17,72,0,8
71,71,36,99,31,0
72,72,44,75,11,323
73,73,43,120,26,49
74,74,53,148,22,"1,451"
75,75,50,52,0,"1,170"
76,76,12,97,0,429
77,77,25,76,0,162
78,78,38,89,5,82
79,79,23,45,0,10
80,80,39,107,0,0
81,81,23,145,2,478
82,82,46,105,1,0
83,83,25,156,1,236
84,84,52,143,3,200
85,85,47,106,4,78
86,86,23,110,0,5
87,87,58,119,2,266
88,88,39,91,3,486
89,89,61,98,5,204
90,90,35,166,4,34
91,91,27,40,6,202
92,92,52,135,37,312
93,93,21,100,1,32
94,94,44,108,17,153
95,95,43,112,5,519
96,96,32,113,0,458
97,97,6,6,0,48
98,98,18,106,2,184
99,99,15,52,1,0
100,100,25,32,0,666
