date_id,track_id,date
0,0,2023-07-14
1,1,2023-03-23
2,2,2023-06-30
3,3,2019-08-23
4,4,2023-05-18
5,5,2023-06-01
6,6,2023-03-16
7,7,2023-07-07
8,8,2023-05-15
9,9,2023-03-17
10,10,2023-04-17
11,11,2023-07-07
12,12,2023-04-14
13,13,2022-12-08
14,14,2023-02-24
15,15,2023-03-31
16,16,2023-03-24
17,17,2023-06-22
18,18,2023-07-07
19,19,2023-05-31
20,20,2023-06-02
21,21,2023-06-22
22,22,2022-03-25
23,23,2023-06-29
24,24,2023-01-31
25,25,2023-05-25
26,26,2023-07-13
27,27,2023-06-28
28,28,2022-12-02
29,29,2022-10-21
30,30,2023-02-23
31,31,2023-04-07
32,32,2014-01-01
33,33,2014-01-01
34,34,2023-05-19
35,35,2023-02-10
36,36,2018-10-09
37,37,2022-08-26
38,38,2017-07-21
39,39,2020-11-27
40,40,2016-11-24
41,41,2016-09-21
42,42,2023-02-24
43,43,2023-06-02
44,44,2023-04-06
45,45,2023-02-24
46,46,2023-06-15
47,47,2023-02-24
48,48,2022-05-26
49,49,2023-05-04
50,50,2023-02-03
51,51,2022-06-24
52,52,2023-03-24
53,53,2022-10-06
54,54,1999-01-01
55,55,2022-10-21
56,56,2022-12-02
57,57,2023-07-14
58,58,2023-07-07
59,59,2023-06-23
60,60,2022-07-15
61,61,2022-07-06
62,62,2008-01-01
63,63,2022-07-17
64,64,2022-09-22
65,65,2022-12-20
66,66,2023-06-22
67,67,1975-01-01
68,68,2022-04-22
69,69,2023-06-23
70,70,2023-07-07
71,71,2021-07-09
72,72,2023-03-03
73,73,2022-05-06
74,74,2015-06-22
75,75,2012-06-20
76,76,2023-03-24
77,77,2023-03-17
78,78,2023-03-17
79,79,2017-11-08
80,80,2020-06-05
81,81,2023-05-12
82,82,2023-03-17
83,83,2022-12-09
84,84,2011-01-01
85,85,2023-06-09
86,86,2012-01-01
87,87,2022-12-02
88,88,2023-04-14
89,89,2004-01-01
90,90,2023-07-07
91,91,2022-04-20
92,92,2017-11-10
93,93,2017-04-28
94,94,2021-03-11
95,95,2011-01-01
96,96,2012-01-01
97,97,2022-12-02
98,98,2023-06-22
99,99,2023-07-07
100,100,1985-02-17
101,101,2014-12-09
102,102,2023-02-25
103,103,2023-02-08
104,104,2023-05-12
105,105,2020-07-24
106,106,2023-06-22
107,107,2023-03-10
108,108,2022-07-15
109,109,2022-12-09
110,110,2022-08-19
111,111,2011-08-16
112,112,2017-08-11
113,113,2023-06-21
114,114,2023-05-15
115,115,2023-01-02
116,116,2011-01-01
