music_id,track_id,bpm,mode,key,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
0,0,125,Major,B,80,89,83,31,8,4
1,1,92,Major,C#,71,61,74,7,10,4
2,2,138,Major,F,51,32,53,17,31,6
3,3,170,Major,A,55,58,72,11,11,15
4,4,144,Minor,A,65,23,80,14,11,6
5,5,141,Major,C#,92,66,58,19,8,24
6,6,148,Minor,F,67,83,76,48,8,3
7,7,100,Major,F,67,26,71,37,11,4
8,8,130,Minor,C#,85,22,62,12,28,9
9,9,170,Minor,D,81,56,48,21,8,33
10,10,83,Minor,F#,57,56,72,23,27,5
11,11,150,Minor,F,78,52,82,18,15,7
12,12,130,Minor,D,51,32,43,83,9,3
13,13,89,Major,G#,64,43,73,5,16,4
14,14,120,Minor,B,78,76,59,43,34,3
15,15,100,Major,B,86,67,66,14,12,16
16,16,120,Major,G,63,36,73,0,36,4
17,17,140,Minor,F,65,87,74,22,42,4
18,18,123,Major,F#,69,82,76,6,6,3
19,19,133,Minor,F,85,81,67,26,12,5
20,20,99,Major,C#,85,83,68,7,36,20
21,21,130,Minor,G,79,96,86,9,9,9
22,22,107,Major,B,80,82,80,43,14,4
23,23,122,Minor,F#,81,74,71,14,56,4
24,24,204,Major,F#,52,52,68,46,15,4
25,25,110,Minor,B,67,78,85,2,33,5
26,26,126,Minor,F,74,35,84,0,11,6
27,27,168,Major,F#,56,63,87,39,11,5
28,28,98,Minor,C#,71,17,61,36,8,5
29,29,97,Major,E,64,51,63,12,19,5
30,30,180,Minor,E,72,61,63,67,9,28
31,31,150,Major,F#,61,39,73,37,11,3
32,32,96,Major,F,75,57,68,9,13,6
33,33,95,Major,D,60,48,79,0,12,4
34,34,125,Minor,F,79,96,85,27,11,6
35,35,144,Minor,A,56,84,65,23,10,6
36,36,90,Major,D,76,91,50,54,7,5
37,37,128,Minor,G,56,38,97,4,35,4
38,38,79,Major,F#,56,58,56,37,11,10
39,39,122,Major,F,67,49,64,10,10,3
40,40,134,Minor,C#,59,51,52,9,15,7
41,41,186,Major,G,68,49,59,16,13,28
42,42,67,Minor,C#,53,50,53,23,44,7
43,43,106,Minor,A#,72,17,64,7,10,5
44,44,128,Major,G,60,23,91,0,12,3
45,45,107,Minor,F#,92,55,70,18,15,7
46,46,130,Minor,G,67,96,88,12,8,4
47,47,137,Minor,G,64,88,72,51,17,5
48,48,125,Minor,G,84,85,68,58,22,4
49,49,130,Major,B,86,59,96,50,9,5
50,50,133,Major,F,70,86,81,25,25,5
51,51,101,Major,D,88,72,59,62,9,3
52,52,95,Minor,F,77,53,64,74,17,14
53,53,98,Minor,C#,90,40,59,0,10,29
54,54,173,Major,B,43,28,66,0,23,3
55,55,90,Major,G#,64,10,62,7,48,7
56,56,198,Minor,A#,59,71,42,55,10,7
57,57,140,Major,C#,56,48,73,0,35,4
58,58,82,Major,G#,51,22,53,1,15,3
59,59,130,Minor,C#,77,84,89,17,43,5
60,60,94,Minor,C#,51,14,59,65,25,3
61,61,128,Major,D,62,55,78,1,23,4
62,62,138,Minor,F,49,42,62,9,11,3
63,63,132,Major,E,58,27,48,50,12,3
64,64,131,Major,D,71,24,47,1,27,9
65,65,168,Minor,F#,78,58,73,5,10,7
66,66,98,Major,C#,68,40,79,33,30,6
67,67,102,Major,C#,48,50,73,43,15,4
68,68,101,Major,A#,34,32,57,78,20,3
69,69,130,Major,F,63,36,34,76,35,9
70,70,142,Major,D,50,20,64,1,12,3
71,71,170,Major,C#,59,48,76,4,10,5
72,72,124,Minor,G#,78,70,68,3,11,4
73,73,92,Minor,C#,91,43,71,9,9,8
74,74,116,Major,D,82,40,66,39,25,7
75,75,129,Major,A,63,84,82,70,9,7
76,76,98,Major,G#,71,67,60,19,12,3
77,77,172,Minor,C#,74,76,76,6,10,9
78,78,150,Major,D,68,14,76,4,10,4
79,79,136,Minor,A,62,19,53,11,6,4
80,80,88,Minor,C#,53,34,47,9,83,4
81,81,143,Major,D#,83,69,44,15,10,33
82,82,100,Minor,F#,49,17,35,71,11,3
83,83,143,Major,F,56,39,55,14,11,13
84,84,112,Minor,C#,56,24,66,7,12,3
85,85,93,Major,G,62,57,59,3,38,3
86,86,206,Major,G,43,50,55,50,15,10
87,87,88,Minor,G,68,17,71,15,11,5
88,88,170,Major,D,50,37,90,0,12,5
89,89,84,Minor,E,62,24,67,21,13,28
90,90,134,Minor,E,81,53,72,51,12,5
91,91,158,Major,A#,54,50,40,61,10,6
92,92,116,Major,C#,80,92,80,4,10,3
93,93,117,Major,C#,61,45,69,2,9,3
94,94,114,Minor,F,77,65,72,2,7,5
95,95,108,Minor,D,61,47,68,0,13,3
96,96,144,Minor,E,74,37,53,7,21,10
97,97,130,Major,F,51,18,44,76,11,3
98,98,116,Major,B,77,79,62,33,15,3
99,99,121,Major,G,65,49,78,0,17,4
100,100,112,Major,G,64,54,81,36,11,6
101,101,100,Minor,A#,70,47,52,30,6,33
102,102,150,Minor,D#,55,30,78,24,12,8
103,103,120,Minor,F,84,96,71,18,34,17
104,104,127,Minor,B,82,89,85,4,23,6
105,105,90,Major,F,51,42,61,53,9,3
106,106,128,Minor,A,75,79,63,33,15,4
107,107,143,Major,A,64,31,87,4,8,4
108,108,139,Major,G#,74,68,68,3,26,4
109,109,162,Major,A#,49,78,64,19,11,4
110,110,95,Major,F,87,57,55,10,29,7
111,111,146,Major,D,63,88,93,3,10,8
112,112,115,Minor,E,35,12,30,93,10,3
113,113,128,Major,B,78,59,65,10,26,5
114,114,130,Minor,E,82,69,83,3,27,5
115,115,127,Minor,A,80,74,77,36,11,4
116,116,150,Major,D,42,20,86,21,9,9
117,117,122,Minor,D,78,50,63,27,9,5
118,118,119,Minor,C#,75,48,53,18,18,34
119,119,110,Minor,G,76,96,72,32,9,4
120,120,95,Major,G#,60,17,45,16,11,2
121,121,132,Major,F#,56,20,55,45,32,3
122,122,125,Minor,A#,77,74,78,4,23,11
123,123,124,Minor,D#,84,65,50,67,13,6
124,124,133,Minor,B,93,68,65,42,12,25
125,125,112,Major,G,92,67,66,0,36,9
126,126,90,Minor,F,59,52,48,38,10,11
127,127,80,Minor,D#,65,27,69,8,53,4
128,128,172,Major,A,45,33,59,6,8,3
129,129,120,Major,E,60,24,35,73,31,3
130,130,140,Minor,G,74,96,80,18,5,5
131,131,128,Minor,A,81,90,77,1,9,5
132,132,160,Major,A,69,61,71,33,31,20
133,133,144,Major,F,73,87,70,6,28,5
134,134,192,Major,B,50,85,52,11,28,6
135,135,122,Minor,C#,66,48,71,6,12,4
136,136,138,Minor,G,78,89,83,10,12,5
137,137,104,Major,C#,77,36,63,1,36,5
138,138,164,Major,G#,45,24,62,8,16,3
139,139,81,Minor,B,68,51,60,3,19,10
140,140,117,Major,C#,82,73,45,54,7,3
141,141,174,Major,D,45,10,37,97,64,4
142,142,128,Major,C#,73,60,77,3,11,4
143,143,150,Minor,C#,65,51,55,73,14,3
144,144,90,Minor,A,60,13,53,4,21,4
145,145,85,Major,F,55,42,53,17,22,3
146,146,180,Major,D#,33,38,71,20,28,5
147,147,166,Major,C#,57,84,94,11,37,9
148,148,160,Major,G#,71,40,50,16,16,22
149,149,160,Major,G,65,95,80,5,41,16
150,150,92,Major,D,70,81,63,4,8,4
151,151,96,Minor,C#,83,93,65,58,9,8
152,152,92,Major,G,53,12,34,1,12,4
153,153,150,Major,A,34,24,56,4,11,3
154,154,94,Major,F,37,17,47,2,11,3
155,155,90,Minor,E,74,36,63,26,27,5
156,156,160,Major,A,54,54,55,67,42,11
157,157,109,Major,F,63,46,85,1,9,5
158,158,129,Minor,E,57,41,66,63,12,5
159,159,157,Major,G,54,75,60,30,7,5
160,160,130,Major,F#,63,49,73,5,9,3
161,161,107,Minor,F,65,19,72,10,13,25
162,162,146,Minor,B,50,67,89,0,19,8
163,163,139,Minor,A,48,37,41,32,10,10
164,164,95,Minor,F#,84,52,77,12,7,4
165,165,170,Minor,G#,62,55,80,15,37,7
166,166,134,Minor,F#,81,18,64,3,10,11
167,167,84,Minor,F#,57,86,90,2,9,5
168,168,146,Minor,B,61,20,48,21,12,6
169,169,74,Minor,A#,53,24,67,11,10,28
170,170,144,Major,B,75,35,48,84,10,12
171,171,136,Minor,B,77,79,73,15,27,10
172,172,100,Major,E,56,53,55,53,12,4
173,173,105,Minor,F,89,67,78,9,7,33
174,174,106,Major,F,67,24,78,15,30,4
175,175,132,Major,D,85,53,68,40,9,4
176,176,120,Major,A,78,5,30,21,13,5
177,177,155,Major,C#,82,51,39,2,9,49
178,178,129,Major,G#,70,42,43,78,11,3
179,179,135,Minor,F,80,85,74,62,8,9
180,180,98,Minor,A#,73,45,62,28,13,13
181,181,124,Minor,A,84,64,39,3,11,4
182,182,135,Minor,A,77,28,55,18,22,15
183,183,107,Major,D,78,39,53,30,11,6
184,184,96,Major,D,54,25,74,14,9,11
185,185,123,Major,G#,71,58,70,30,32,19
186,186,90,Major,G#,62,7,62,6,58,6
187,187,117,Minor,F,72,45,59,14,20,21
188,188,133,Minor,A,78,90,84,31,7,4
189,189,96,Minor,G#,74,61,83,11,35,6
190,190,149,Major,G#,66,85,60,40,14,13
191,191,110,Minor,F#,66,32,40,81,11,3
192,192,105,Major,F#,95,62,52,3,5,16
193,193,105,Major,C#,80,69,78,28,11,14
194,194,134,Major,B,76,61,58,6,16,3
195,195,170,Minor,E,71,59,56,4,27,12
196,196,81,Major,F#,59,26,60,46,25,13
197,197,154,Major,F#,63,75,92,31,91,5
198,198,169,Major,C#,69,69,51,63,38,4
199,199,115,Major,G,78,64,69,4,7,14
200,200,84,Minor,A,43,14,74,1,19,8
201,201,93,Major,G#,79,58,62,11,11,23
202,202,91,Major,G,82,47,62,10,10,15
203,203,142,Minor,A#,82,54,44,6,33,7
204,204,126,Major,C#,78,20,70,1,16,4
205,205,97,Major,A#,73,10,44,26,16,8
206,206,101,Major,F,92,59,51,41,26,8
207,207,98,Minor,G,80,23,48,14,6,5
208,208,154,Major,F#,59,63,89,18,80,9
209,209,120,Major,A,91,63,58,52,31,22
210,210,150,Major,B,49,4,55,7,6,3
211,211,202,Major,A#,34,25,51,69,18,4
212,212,153,Minor,B,56,42,52,5,36,24
213,213,142,Major,F,60,13,37,58,13,3
214,214,108,Minor,A,84,55,47,26,20,64
215,215,143,Major,B,83,25,69,4,23,12
216,216,108,Major,D,67,55,67,60,80,5
217,217,104,Minor,F,95,78,66,3,4,6
218,218,93,Minor,F#,84,96,79,43,18,11
219,219,105,Minor,F#,65,46,53,16,9,5
220,220,170,Major,G#,44,27,32,89,14,5
221,221,178,Minor,C#,62,56,66,18,12,5
222,222,176,Minor,F#,50,44,76,10,32,5
223,223,104,Minor,E,80,38,88,11,11,5
224,224,85,Major,G,70,83,84,31,47,30
225,225,117,Minor,F#,77,69,58,39,26,5
226,226,98,Major,F,44,36,41,50,38,5
227,227,178,Minor,C#,79,58,78,34,11,25
228,228,148,Major,A,51,27,33,48,22,3
229,229,120,Major,D,77,94,66,65,38,3
230,230,122,Minor,E,68,38,88,1,8,5
231,231,144,Major,F,74,75,73,42,9,4
232,232,96,Major,D,93,47,47,33,10,36
233,233,137,Major,G#,77,35,88,16,17,9
234,234,121,Minor,F#,94,71,61,12,53,42
235,235,119,Minor,A,60,10,57,1,50,3
236,236,96,Major,D,72,40,47,71,13,4
237,237,111,Major,C#,87,53,52,66,11,5
238,238,148,Major,A,90,74,68,14,10,19
239,239,182,Major,A,57,80,59,8,6,5
240,240,145,Minor,E,76,80,81,19,6,9
241,241,110,Minor,B,76,26,70,1,41,6
242,242,134,Major,G,70,35,41,41,10,3
243,243,130,Major,G,92,78,62,18,6,10
244,244,145,Major,A#,84,88,53,35,8,7
245,245,130,Minor,B,69,36,90,1,15,4
246,246,92,Minor,B,75,55,76,25,10,15
247,247,105,Minor,F,56,57,87,0,10,4
248,248,175,Minor,G,59,15,64,43,12,10
249,249,120,Minor,G,80,33,70,22,9,4
250,250,139,Minor,D#,70,77,48,37,12,5
251,251,114,Major,A#,32,17,74,14,17,3
252,252,145,Minor,B,54,19,48,36,37,5
253,253,94,Major,G#,89,61,66,17,36,16
254,254,134,Major,C#,45,17,60,21,33,4
255,255,120,Major,G,62,32,76,0,39,4
256,256,123,Minor,G,70,86,68,24,11,4
257,257,131,Major,A#,77,84,71,35,15,4
258,258,171,Major,D,70,6,73,1,36,26
259,259,130,Minor,E,80,64,76,2,20,6
260,260,94,Major,B,82,53,67,34,9,8
261,261,89,Minor,G,73,44,57,39,32,6
262,262,87,Minor,F,65,71,56,4,15,20
263,263,124,Minor,B,72,79,78,55,15,30
264,264,78,Major,G#,71,80,65,51,22,32
265,265,120,Major,G#,70,70,79,7,18,10
266,266,96,Minor,F#,48,50,80,40,37,20
267,267,106,Major,G,73,22,86,31,12,4
268,268,170,Minor,D,78,75,46,62,12,35
269,269,134,Minor,B,67,11,76,8,30,7
270,270,115,Major,A#,71,90,73,30,11,5
271,271,130,Major,F#,74,79,87,45,30,3
272,272,110,Major,G,59,22,38,42,12,3
273,273,100,Major,A,72,42,66,18,19,4
274,274,142,Minor,G,70,76,79,26,11,7
275,275,116,Major,G,90,96,73,62,9,4
276,276,120,Major,A,73,64,85,25,61,3
277,277,92,Minor,F,76,46,79,31,7,6
278,278,110,Minor,G#,81,64,79,5,31,3
279,279,120,Major,A#,71,57,97,1,13,11
280,280,115,Minor,F,95,43,69,47,9,31
281,281,76,Major,A#,58,46,67,65,13,4
282,282,172,Major,F#,60,77,78,45,12,6
283,283,99,Major,A#,40,45,56,69,9,5
284,284,150,Minor,G#,90,64,14,67,11,10
285,285,92,Minor,A#,71,41,31,79,10,5
286,286,95,Major,C#,77,72,87,17,7,5
287,287,102,Minor,B,83,58,83,21,10,5
288,288,110,Major,A,50,24,86,0,64,4
289,289,94,Minor,B,68,81,82,53,9,13
290,290,142,Major,G,61,92,91,0,26,3
291,291,145,Minor,F#,59,20,74,1,15,5
292,292,121,Minor,F#,64,67,80,0,36,3
293,293,140,Minor,D#,66,43,76,49,12,3
294,294,137,Minor,C#,84,44,67,8,11,6
295,295,104,Major,G#,56,72,85,0,15,3
296,296,92,Major,F,57,68,76,7,33,3
297,297,146,Minor,D,74,51,45,86,21,38
298,298,120,Major,D,56,20,43,89,12,4
299,299,144,Major,D,68,83,81,9,8,4
300,300,94,Major,A,59,44,56,80,6,3
301,301,94,Major,G#,73,65,79,5,11,6
302,302,113,Minor,G,79,66,74,8,11,5
303,303,148,Major,E,50,49,76,12,12,3
304,304,98,Major,C#,70,29,73,12,11,26
305,305,140,Major,B,58,26,38,91,10,4
306,306,100,Major,G,36,28,28,81,18,3
307,307,140,Major,F#,86,68,79,39,11,29
308,308,100,Minor,E,59,78,94,27,29,23
309,309,100,Minor,A,59,49,65,2,13,3
310,310,142,Major,D,49,48,67,10,26,3
311,311,176,Minor,E,72,96,63,25,21,7
312,312,140,Major,F#,53,51,70,49,14,3
313,313,105,Minor,D#,55,40,90,1,32,6
314,314,135,Major,F,81,97,77,75,35,3
315,315,128,Minor,E,82,61,59,30,12,4
316,316,101,Major,F,74,43,69,12,12,7
317,317,122,Major,A#,88,43,50,7,14,5
318,318,83,Major,C#,53,40,36,73,11,33
319,319,77,Minor,B,72,59,76,24,42,28
320,320,140,Minor,B,75,18,25,78,11,26
321,321,158,Major,C#,65,72,95,31,92,5
322,322,176,Major,G,75,43,65,15,11,32
323,323,98,Major,B,73,88,57,56,5,2
324,324,107,Minor,B,66,47,40,72,11,3
325,325,109,Minor,F,66,16,57,10,12,3
326,326,109,Minor,A#,84,72,74,10,34,7
327,327,158,Minor,F#,60,52,76,17,19,5
328,328,94,Minor,F,74,64,73,6,10,6
329,329,96,Minor,F#,70,40,51,35,10,4
330,330,100,Minor,F,80,29,67,29,12,3
331,331,105,Major,A,58,42,68,1,14,4
332,332,170,Minor,F#,56,56,63,13,19,27
333,333,122,Major,G#,64,25,89,0,15,9
334,334,105,Minor,A#,88,82,80,8,11,8
335,335,133,Major,F,66,74,84,25,21,4
336,336,120,Minor,D#,82,55,45,15,9,10
337,337,177,Major,A,25,17,30,90,13,3
338,338,142,Minor,D,64,31,72,15,9,5
339,339,144,Minor,E,57,47,84,1,52,4
340,340,120,Minor,B,65,80,86,9,19,10
341,341,135,Major,D,92,73,51,55,15,6
342,342,105,Major,G,82,62,74,10,33,7
343,343,108,Minor,F#,44,38,77,9,9,20
344,344,174,Major,F,70,57,64,23,8,32
345,345,90,Minor,A#,68,83,71,3,31,8
346,346,141,Minor,E,41,9,25,84,14,4
347,347,82,Major,F,68,50,49,56,8,4
348,348,92,Major,F,47,25,43,62,32,3
349,349,116,Minor,G#,77,65,80,6,15,4
350,350,125,Minor,A#,71,83,89,1,17,9
351,351,83,Major,C#,46,34,64,31,7,34
352,352,124,Minor,B,79,68,79,1,10,8
353,353,140,Major,G#,58,4,60,7,8,3
354,354,186,Minor,E,41,9,61,2,12,5
355,355,166,Minor,G#,40,23,48,5,12,3
356,356,87,Major,G,87,52,52,31,28,24
357,357,82,Major,G#,40,39,64,21,7,7
358,358,114,Minor,A,46,60,28,91,21,4
359,359,148,Major,G#,47,15,52,38,29,5
360,360,140,Major,F#,91,97,57,38,40,29
361,361,101,Major,G,90,76,81,15,33,6
362,362,140,Minor,C#,81,6,84,5,6,6
363,363,88,Minor,G,49,24,66,19,18,29
364,364,180,Major,C#,64,44,65,28,14,12
365,365,133,Major,D,95,91,89,6,31,24
366,366,108,Minor,A#,63,20,55,72,6,6
367,367,80,Minor,F,39,24,43,39,23,3
368,368,75,Minor,B,80,46,62,3,11,46
369,369,121,Minor,F#,67,26,64,52,17,10
370,370,140,Minor,D,58,17,62,18,20,8
371,371,102,Major,C#,58,29,94,0,9,11
372,372,82,Major,A,70,31,34,60,11,4
373,373,121,Minor,C#,46,53,78,23,72,6
374,374,103,Minor,F#,70,92,83,1,7,6
375,375,85,Minor,F,65,36,47,31,12,10
376,376,125,Minor,C#,84,70,69,1,5,5
377,377,120,Major,D,69,40,39,41,13,6
378,378,130,Minor,F#,65,49,80,22,7,5
379,379,93,Major,E,35,38,23,91,29,3
380,380,202,Major,G,24,76,60,77,12,4
381,381,134,Major,C#,45,72,24,91,18,4
382,382,160,Major,G#,51,69,81,0,21,5
383,383,148,Major,D,50,96,82,47,34,4
384,384,151,Major,G,65,70,47,87,9,4
385,385,162,Minor,F#,67,88,54,51,9,4
386,386,92,Major,D,53,84,77,40,32,3
387,387,152,Major,C#,65,35,65,44,21,7
388,388,65,Minor,A,71,55,26,85,13,8
389,389,147,Major,D,33,39,61,32,77,3
390,390,150,Minor,A#,73,71,69,53,32,9
391,391,139,Major,C#,36,22,15,84,11,4
392,392,95,Major,B,75,74,58,36,9,3
393,393,125,Major,F#,62,59,43,84,11,5
394,394,101,Minor,C#,72,91,87,14,13,3
395,395,143,Major,D,60,86,32,88,34,6
396,396,119,Minor,G,51,51,66,67,9,23
397,397,78,Major,A,67,22,59,76,15,16
398,398,96,Major,A,23,19,25,91,40,3
399,399,180,Major,A,51,87,58,36,18,4
400,400,126,Major,D#,34,35,76,39,8,5
401,401,150,Major,F,43,42,44,57,15,6
402,402,90,Major,D,53,47,74,9,34,4
403,403,160,Major,F,72,78,68,28,11,12
404,404,113,Major,G,73,72,32,77,15,5
405,405,100,Minor,B,70,92,59,3,10,3
406,406,155,Major,G#,49,42,77,3,12,9
407,407,107,Minor,G,54,41,39,51,11,16
408,408,112,Major,G#,80,15,54,9,38,5
409,409,166,Major,C#,70,57,57,9,11,7
410,410,107,Minor,F#,69,96,36,81,8,4
411,411,81,Major,G#,47,33,68,24,22,38
412,412,150,Major,C#,79,77,46,5,11,7
413,413,110,Major,A,66,19,32,69,12,4
414,414,108,Major,G,64,4,40,6,10,6
415,415,130,Minor,E,89,48,74,30,7,36
416,416,164,Major,G,70,39,56,6,9,7
417,417,114,Minor,B,80,42,68,2,66,4
418,418,93,Major,F,63,93,88,1,12,4
419,419,90,Minor,C#,87,51,69,36,9,8
420,420,128,Major,B,45,35,68,78,39,8
421,421,97,Major,A,83,47,80,2,24,9
422,422,152,Minor,G,69,94,71,79,7,8
423,423,175,Major,G#,51,94,34,73,10,5
424,424,116,Major,D,61,48,55,67,16,8
