playlist_id,track_id,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
0,0,553,43,45
1,1,1474,48,58
2,2,1397,94,91
3,3,7858,116,125
4,4,3133,84,87
5,5,2186,67,88
6,6,3090,34,43
7,7,714,25,30
8,8,1096,60,48
9,9,2953,49,66
10,10,2876,41,54
11,11,422,37,21
12,12,3528,80,182
13,13,8109,183,161
14,14,2942,91,78
15,15,2610,43,54
16,16,596,8,23
17,17,332,11,10
18,18,516,73,42
19,19,1313,17,32
20,20,1945,74,87
21,21,250,16,10
22,22,7112,202,318
23,23,859,35,41
24,24,2420,52,15
25,25,2988,0,143
26,26,864,71,50
27,27,266,20,13
28,28,6036,113,245
29,29,9082,242,165
30,30,4284,115,184
31,31,672,19,24
32,32,11434,154,410
33,33,7830,94,151
34,34,584,16,15
35,35,692,10,6
36,36,24094,372,843
37,37,12482,291,537
38,38,13387,77,247
39,39,3372,65,138
40,40,2483,68,24
41,41,29536,281,2445
42,42,3408,87,74
43,43,1298,44,57
44,44,4277,145,213
45,45,1133,14,23
46,46,2259,0,109
47,47,2649,67,57
48,48,6804,139,161
49,49,731,27,73
50,50,5184,154,102
51,51,3107,38,4
52,52,4053,82,182
53,53,4637,63,89
54,54,31358,196,4053
55,55,3818,37,32
56,56,3506,105,169
57,57,410,36,31
58,58,148,32,8
59,59,1004,42,58
60,60,4511,70,109
61,61,8506,94,164
62,62,33898,233,4095
63,63,3246,94,68
64,64,8576,216,331
65,65,3618,47,80
66,66,370,12,18
67,67,31123,300,1003
68,68,2790,60,71
69,69,267,9,25
70,70,139,16,5
71,71,17050,492,798
72,72,2114,80,110
73,73,8870,104,141
74,74,6060,150,2703
75,75,641,1,8
76,76,1446,57,35
77,77,804,29,24
78,78,1962,28,29
79,79,4875,19,0
80,80,31,2,8
81,81,2175,69,69
82,82,2000,49,63
83,83,2839,58,42
84,84,20333,89,1632
85,85,674,20,25
86,86,8448,160,163
87,87,2110,17,19
88,88,2528,56,59
89,89,12985,49,2394
90,90,77,8,4
91,91,266,6,6
92,92,21097,384,1034
93,93,3423,41,59
94,94,4198,98,327
95,95,14739,88,2163
96,96,26792,69,695
97,97,213,7,0
98,98,58,2,4
99,99,99,21,6
100,100,41751,101,2655
101,101,21164,80,476
102,102,2988,74,145
103,103,893,19,24
104,104,1094,40,47
105,105,7324,25,61
106,106,201,19,8
107,107,5120,161,246
108,108,2346,69,38
109,109,763,21,21
110,110,3430,45,52
111,111,6074,201,6551
112,112,15032,221,1078
113,113,871,25,32
114,114,451,10,7
115,115,1783,26,15
116,116,9389,24,282
117,117,5724,119,254
118,118,1682,24,30
119,119,182,3,1
120,120,16596,7,2094
121,121,2335,82,50
122,122,18986,250,2969
123,123,283,6,26
124,124,293,5,30
125,125,21081,98,3889
126,126,1275,13,5
127,127,6135,71,99
128,128,20015,107,5239
129,129,1507,24,44
130,130,539,7,4
131,131,86,7,3
132,132,894,14,66
133,133,1622,0,356
134,134,561,4,12
135,135,29215,179,3394
136,136,961,19,10
137,137,43257,433,3631
138,138,4564,24,113
139,139,13801,137,435
140,140,22439,211,929
